id	var0	var1	var2	var3	var4	var5	res
36	0.61863	0.092234	0.27926	0.24452	0.050719	0.47622	0
37	0.089699	0.51181	0.16861	0.32009	0.85485	0.052898	0
38	0.61547	0.66505	0.084158	0.67826	0.19127	0.11435	0
39	0.45797	0.25104	0.14427	0.6584	0.15683	0.13652	0
40	0.35282	0.034203	0.20017	0.1856	0.23727	0.86942	0
41	0.20653	0.85589	0.96166	0.48579	0.10042	0.012377	0
42	0.96201	0.19012	0.52419	0.13062	0.51021	0.37904	0
43	0.18352	0.12568	0.044094	0.26767	0.80394	0.23536	0
44	0.38203	0.26191	0.4864	0.5263	0.92031	0.64323	0
45	0.66282	0.27313	0.67743	0.86299	0.45873	0.9147	0
46	0.73241	0.66527	0.77059	0.69407	0.15106	0.87101	0
47	0.70645	0.11307	0.06113	0.23064	0.24369	0.57134	0
48	0.60968	0.4272	0.69703	0.65377	0.69488	0.50097	0
49	0.88913	0.076905	0.76288	0.37553	0.6032	0.68319	0
50	0.018764	0.26602	0.95632	0.6962	0.12901	0.41506	0
51	0.6109	0.86141	0.080326	0.38149	0.55548	0.23138	0
52	0.2525	0.26193	0.34446	0.31363	0.49256	0.58814	0
53	0.88498	0.10224	0.015348	0.582	0.75601	0.71023	0
54	0.08297	0.64515	0.78713	0.84585	0.020681	0.39033	0
55	0.52904	0.039445	0.65635	0.48537	0.73564	0.78536	0
56	0.90042	0.34654	0.64677	0.98075	0.72803	0.20226	0
57	0.21213	0.98053	0.46418	0.55659	0.29417	0.95675	0
58	0.14473	0.17914	0.05899	0.16008	0.76115	0.815	0
59	0.87031	0.84412	0.46015	0.65744	0.68997	0.48083	0
60	0.047773	0.21901	0.52028	0.70413	0.70437	0.25592	0
61	0.48949	0.6048	0.60246	0.13626	0.58555	0.33049	0
62	0.33852	0.79768	0.31102	0.8027	0.35427	0.60519	0
63	0.75945	0.499	0.78433	0.81844	0.65908	0.54548	0
64	0.63344	0.52939	0.38959	0.093591	0.18683	0.079562	0
65	0.57442	0.2346	0.29857	0.094698	0.93873	0.0029431	0
66	0.35062	0.42821	0.60774	0.95307	0.56447	0.19329	0
67	0.28356	0.90299	0.99096	0.59458	0.70569	0.34523	0
68	0.19977	0.46514	0.84423	0.98411	0.28357	0.50331	0
69	0.52959	0.91701	0.032701	0.91918	0.010605	0.21953	0
70	0.99874	0.58503	0.45413	0.29731	0.67973	0.39286	0
71	0.30026	0.030343	0.82107	0.908	0.98342	0.38554	0
72	0.10128	0.26698	0.28853	0.092245	0.86156	0.99422	0
73	0.43748	0.061338	0.45935	0.28171	0.045445	0.74293	0
74	0.78502	0.57503	0.65994	0.81772	0.49421	0.67055	0
75	0.037251	0.49296	0.25557	0.49138	0.79027	0.9353	0
76	0.88424	0.090524	0.96564	0.70531	0.99852	0.94906	0
77	0.090852	0.0998	0.21604	0.37938	0.19204	0.077603	0
78	0.3736	0.62952	0.13894	0.83295	0.91123	0.18439	0
79	0.57588	0.69625	0.75942	0.23582	0.51397	0.25363	0
80	0.90637	0.55122	0.74659	0.16194	0.042604	0.53685	0
81	0.097239	0.92684	0.62738	0.06288	0.63215	0.6259	0
82	0.011939	0.723	0.7257	0.22798	0.10238	0.91774	0
83	0.30558	0.47599	0.54726	0.44452	0.30894	0.45849	0
84	0.62891	0.88482	0.15474	0.38832	0.12064	0.66872	0
85	0.64195	0.027007	0.21994	0.38854	0.18895	0.26254	0
86	0.9254	0.28619	0.18938	0.55277	0.34907	0.82153	0
87	0.17867	0.361	0.54454	0.90437	0.58898	0.64692	0
88	0.82211	0.89456	0.12291	0.36937	0.33908	0.43185	0
89	0.82787	0.96799	0.31666	0.98261	0.35631	0.4373	0
90	0.65132	0.99827	0.46431	0.87126	0.38681	0.65326	0
91	0.13381	0.3122	0.93944	0.32319	0.86498	0.28851	0
92	0.14473	0.043647	0.64952	0.68926	0.94802	0.2385	0
93	0.33618	0.77013	0.13306	0.45909	0.1395	0.47214	0
94	0.89094	0.96737	0.44013	0.2076	0.94998	0.79644	0
95	0.6449	0.6013	0.79471	0.10922	0.47257	0.18152	0
96	0.76247	0.60637	0.49372	0.70192	0.92957	0.35869	0
97	0.99043	0.074292	0.40234	0.63994	0.76355	0.35036	0
98	0.87844	0.099737	0.12049	0.011502	0.55883	0.25999	0
99	0.48365	0.44976	0.22736	0.92378	0.65736	0.17734	0
100	0.72022	0.30227	0.77864	0.51493	0.41148	0.25121	0
101	0.69645	0.17396	0.85758	0.19017	0.87587	0.78715	0
102	0.54886	0.8663	0.86144	0.9512	0.50625	0.625	0
103	0.30156	0.38469	0.72473	0.42205	0.39619	0.28356	0
104	0.68204	0.87983	0.73332	0.9094	0.80361	0.39068	0
105	0.086733	0.52383	0.69295	0.86537	0.038767	0.10443	0
106	0.11658	0.73522	0.27839	0.97416	0.92539	0.15426	0
107	0.76131	0.47425	0.020562	0.62275	0.42545	0.52681	0
108	0.24775	0.72701	0.9115	0.97248	0.14906	0.30769	0
109	0.25604	0.8311	0.18752	0.98936	0.74049	0.99113	0
110	0.38005	0.82722	0.51497	0.072996	0.6926	0.55373	0
111	0.17743	0.80918	0.28895	0.45581	0.78334	0.21434	0
112	0.61007	0.54465	0.68859	0.63064	0.16741	0.11404	0
113	0.15744	0.41516	0.84105	0.06894	0.38764	0.99011	0
114	0.37663	0.64368	0.8212	0.56415	0.63305	0.56169	0
115	0.55528	0.013092	0.38891	0.070244	0.086087	0.08151	0
116	0.62398	0.26351	0.89069	0.91293	0.71933	0.67403	0
117	0.12727	0.3294	0.21868	0.81585	0.96003	0.38609	0
118	0.92989	0.11748	0.80125	0.77093	0.18642	0.18889	0
119	0.76104	0.56304	0.83257	0.58224	0.12719	0.46562	0
120	0.14393	0.68247	0.47871	0.53285	0.75271	0.56479	0
121	0.61436	0.37669	0.82831	0.50504	0.28962	0.54763	0
122	0.17907	0.41688	0.87703	0.39775	0.23274	0.83707	0
123	0.78384	0.16262	0.95454	0.58509	0.93356	0.14096	0
124	0.77398	0.6946	0.704	0.60655	0.27684	0.83119	0
125	0.072165	0.42077	0.51366	0.55087	0.95362	0.26637	0
126	0.11567	0.56798	0.64306	0.94397	0.07302	0.93268	0
127	0.49161	0.25209	0.34956	0.36864	0.64985	0.5823	0
128	0.20571	0.43369	0.74492	0.16025	0.018781	0.67848	0
129	0.30121	0.79276	0.37308	0.0052147	0.39931	0.64992	0
130	0.83641	0.47148	0.070696	0.35007	0.022348	0.024316	0
131	0.61643	0.13801	0.59229	0.25949	0.081988	0.66531	0
132	0.19217	0.5736	0.9174	0.54173	0.94224	0.56725	0
133	0.12403	0.14794	0.00093954	0.86895	0.30819	0.019721	0
134	0.54743	0.6094	0.81248	0.92051	0.61462	0.21179	0
135	0.57044	0.45103	0.68327	0.64113	0.80109	0.70562	0
136	0.66545	0.41753	0.84363	0.25774	0.67702	0.92562	0
137	0.92305	0.86919	0.49921	0.84046	0.41092	0.44145	0
138	0.40771	0.53495	0.5894	0.40865	0.4039	0.89759	0
139	0.42837	0.95133	0.50699	0.24085	0.87184	0.12161	0
140	0.45264	0.44228	0.57264	0.13591	0.083414	0.37373	0
141	0.84153	0.74886	0.79126	0.68516	0.0066069	0.46828	0
142	0.61078	0.92966	0.33747	0.10999	0.77012	0.74838	0
143	0.55144	0.17783	0.28333	0.14084	0.58648	0.68722	0
144	0.038428	0.014845	0.63855	0.54542	0.2557	0.51039	0
145	0.66703	0.70834	0.95267	0.23967	0.84425	0.036088	0
146	0.61341	0.68578	0.78495	0.40466	0.37094	0.79156	0
147	0.87294	0.98171	0.72122	0.21041	0.091705	0.49134	0
148	0.95879	0.64315	0.66917	0.24212	0.78399	0.25565	0
149	0.92934	0.82242	0.27049	0.56789	0.36784	0.52619	0
150	0.078286	0.034872	0.23453	0.03096	0.27455	0.078776	0
151	0.067049	0.88795	0.76455	0.852	0.29262	0.13549	0
152	0.64356	0.16556	0.1172	0.36478	0.37596	0.20891	0
153	0.85612	0.33475	0.85206	0.52529	0.57687	0.63605	0
154	0.78094	0.50621	0.45846	0.051428	0.0741	0.8263	0
155	0.57761	0.15239	0.86117	0.81214	0.18335	0.13572	0
156	0.89092	0.2504	0.023667	0.65547	0.1024	0.31628	0
157	0.79096	0.74596	0.48184	0.90817	0.11074	0.8578	0
158	0.11708	0.96686	0.19255	0.96913	0.49216	0.76941	0
159	0.60518	0.27309	0.27562	0.063639	0.32452	0.34972	0
160	0.88994	0.90214	0.50211	0.75111	0.71428	0.68545	0
161	0.88682	0.60519	0.93585	0.91049	0.26066	0.038246	0
162	0.22677	0.051623	0.7842	0.70861	0.95979	0.89494	0
163	0.56641	0.076864	0.86181	0.75896	0.045997	0.35396	0
164	0.52837	0.65118	0.62706	0.80399	0.71481	0.95158	0
165	0.15371	0.60475	0.85371	0.65582	0.35586	0.56799	0
166	0.34128	0.24268	0.17318	0.27713	0.15317	0.43384	0
167	0.31537	0.37994	0.48547	0.099578	0.088545	0.44525	0
168	0.99452	0.65495	0.52212	0.85633	0.41391	0.56812	0
169	0.21029	0.94228	0.21929	0.83735	0.74627	0.93411	0
170	0.78893	0.89998	0.53886	0.64264	0.55581	0.89471	0
171	0.21063	0.89708	0.13739	0.38381	0.17421	0.29056	0
172	0.81765	0.48958	0.6705	0.30312	0.58916	0.75904	0
173	0.74837	0.58368	0.41399	0.27049	0.44001	0.8279	0
174	0.83861	0.6503	0.77018	0.057899	0.48765	0.51645	0
175	0.99201	0.27658	0.41644	0.53086	0.91922	0.97224	0
176	0.42558	0.12985	0.86933	0.56297	0.51366	0.043539	0
177	0.85353	0.33131	0.53312	0.52402	0.63443	0.12229	0
178	0.28306	0.3828	0.70597	0.69705	0.6533	0.14598	0
179	0.52496	0.49191	0.79629	0.29514	0.5498	0.28394	0
180	0.81159	0.54181	0.56052	0.22802	0.072671	0.47974	0
181	0.20027	0.49825	0.60958	0.069594	0.061214	0.12324	0
182	0.11313	0.91474	0.45455	0.64626	0.43876	0.088978	0
183	0.76854	0.72182	0.47178	0.47451	0.41888	0.12508	0
184	0.6205	0.94383	0.61698	0.41678	0.23897	0.16679	0
185	0.70072	0.050554	0.7086	0.26124	0.27858	0.78127	0
186	0.74098	0.47884	0.27952	0.35056	0.54844	0.34073	0
187	0.4738	0.66157	0.25547	0.92835	0.30783	0.69423	0
188	0.017324	0.076369	0.41605	0.48911	0.55088	0.83492	0
189	0.61418	0.17138	0.77876	0.23117	0.58816	0.017722	0
190	0.39795	0.28889	0.068277	0.10655	0.55013	0.34685	0
191	0.88782	0.29111	0.8257	0.16734	0.64167	0.37413	0
192	0.50807	0.11546	0.035703	0.76354	0.04381	0.34353	0
193	0.45776	0.061134	0.4199	0.87381	0.55024	0.97078	0
194	0.70874	0.16442	0.14216	0.48749	0.39559	0.73032	0
195	0.50521	0.79354	0.019204	0.57349	0.9001	0.56933	0
196	0.92034	0.78792	0.86044	0.74604	0.95525	0.5021	0
197	0.12018	0.46332	0.61757	0.15588	0.22686	0.66138	0
198	0.49941	0.68462	0.72251	0.9193	0.55843	0.27275	0
199	0.89008	0.26717	0.43717	0.032237	0.75466	0.83276	0
200	0.76256	0.25988	0.62631	0.78176	0.83337	0.5264	0
201	0.35109	0.75371	0.31432	0.21153	0.49975	0.26957	0
202	0.71364	0.61993	0.73289	0.3312	0.7758	0.95975	0
203	0.99258	0.27521	0.64437	0.7151	0.19451	0.2028	0
204	0.98785	0.084595	0.46997	0.42502	0.11683	0.22464	0
205	0.25778	0.87939	0.48451	0.88409	0.66115	0.31788	0
206	0.41049	0.012238	0.071588	0.7248	0.22377	0.57134	0
207	0.99438	0.9374	0.19127	0.72727	0.26861	0.96707	0
208	0.68702	0.26119	0.24228	0.33139	0.97629	0.4368	0
209	0.5342	0.96413	0.52139	0.004172	0.38915	0.63822	0
210	0.22881	0.64693	0.51761	0.71332	0.53102	0.17876	0
211	0.031197	0.9415	0.191	0.10278	0.66631	0.41477	0
212	0.67413	0.66068	0.35217	0.86539	0.38795	0.62078	0
213	0.83247	0.074975	0.88197	0.074749	0.40637	0.85825	0
214	0.51155	0.94056	0.82238	0.032938	0.94474	0.21153	0
215	0.67116	0.17354	0.85847	0.18877	0.88686	0.38948	0
216	0.36753	0.91806	0.33099	0.55853	0.020846	0.99729	0
217	0.97329	0.69497	0.65798	0.32546	0.56036	0.045933	0
218	0.94624	0.39283	0.12091	0.82821	0.46758	0.52728	0
219	0.68646	0.97912	0.46784	0.50884	0.012061	0.41258	0
220	0.72038	0.68322	0.58612	0.57885	0.872	0.47299	0
221	0.96833	0.23953	0.39105	0.29931	0.79806	0.41189	0
222	0.29661	0.77135	0.10686	0.95459	0.096817	0.66723	0
223	0.00052032	0.043057	0.060058	0.12143	0.87126	0.52764	0
224	0.6487	0.55772	0.50676	0.11654	0.066567	0.51882	0
225	0.52912	0.78695	0.20204	0.11524	0.36579	0.074042	0
226	0.58823	0.33412	0.31357	0.97927	0.63343	0.11163	0
227	0.39117	0.93004	0.88299	0.49803	0.88463	0.9798	0
228	0.16526	0.88515	0.02286	0.22532	0.006579	0.89412	0
229	0.75295	0.65528	0.45185	0.25971	0.77183	0.51841	0
230	0.77853	0.30095	0.30536	0.98058	0.41619	0.67115	0
231	0.054621	0.0044157	0.0052703	0.36819	0.98369	0.6387	0
232	0.47982	0.37486	0.56875	0.36281	0.87289	0.45338	0
233	0.34261	0.038149	0.33853	0.36547	0.26347	0.34511	0
234	0.2596	0.016421	0.00038993	0.71144	0.27613	0.77222	0
235	0.22986	0.054669	0.073163	0.53522	0.035249	0.48935	0
236	0.20637	0.08987	0.49377	0.21164	0.45806	0.47746	0
237	0.85035	0.93789	0.85231	0.41909	0.3007	0.7252	0
238	0.87247	0.64331	0.76335	0.211	0.008784	0.026819	0
239	0.55611	0.26838	0.04324	0.5565	0.97983	0.31937	0
240	0.32871	0.20968	0.37404	0.40187	0.7449	0.40929	0
241	0.89123	0.95128	0.49916	0.38499	0.16292	0.95722	0
242	0.86245	0.013262	0.89511	0.71476	0.43235	0.19581	0
243	0.43997	0.30482	0.83912	0.20332	0.51582	0.8479	0
244	0.23014	0.071927	0.11629	0.27338	0.62842	0.096112	0
245	0.59275	0.95713	0.3058	0.9668	0.35901	0.050701	0
246	0.37609	0.25024	0.0019764	0.87525	0.63523	0.16489	0
247	0.83247	0.49768	0.17815	0.72759	0.21244	0.61051	0
248	0.9234	0.65241	0.91533	0.76252	0.85573	0.43115	0
249	0.61042	0.08587	0.50308	0.72671	0.35925	0.1315	0
250	0.82282	0.952	0.088639	0.12862	0.91879	0.44765	0
251	0.17932	0.29488	0.69788	0.18129	0.17013	0.33311	0
252	0.34619	0.0026063	0.83079	0.52434	0.73019	0.043236	0
253	0.13485	0.65359	0.69565	0.05018	0.41611	0.55138	0
254	0.48133	0.026527	0.63725	0.98442	0.75323	0.9965	0
255	0.11592	0.57605	0.9485	0.20456	0.70467	0.86729	0
256	0.65221	0.88399	0.16217	0.35009	0.06528	0.3323	0
257	0.6832	0.41147	0.33491	0.51399	0.93581	0.065103	0
258	0.55723	0.070655	0.71869	0.25288	0.12084	0.1348	0
259	0.80425	0.60217	0.16132	0.4415	0.58658	0.91456	0
260	0.438	0.7025	0.49061	0.38649	0.90706	0.19528	0
261	0.25378	0.55927	0.079269	0.41596	0.90936	0.14455	0
262	0.74826	0.59256	0.55602	0.083171	0.10655	0.49182	0
263	0.14827	0.66378	0.56248	0.86697	0.91666	0.68331	0
264	0.0017634	0.72091	0.28548	0.16309	0.16241	0.87207	0
265	0.077647	0.60041	0.57457	0.56826	0.98691	0.48163	0
266	0.76354	0.24069	0.040901	0.84281	0.65665	0.95026	0
267	0.98736	0.40491	0.54282	0.54337	0.48808	0.64937	0
268	0.035196	0.63636	0.31315	0.59767	0.50332	0.22981	0
269	0.28098	0.50508	0.95072	0.56646	0.66817	0.11313	0
270	0.43853	0.74582	0.71355	0.0131	0.31408	0.70046	0
271	0.49473	0.077619	0.94115	0.53563	0.92043	0.5978	0
272	0.48589	0.90779	0.0027078	0.028711	0.45116	0.49079	0
273	0.67808	0.48636	0.12714	0.99123	0.084029	0.63046	0
274	0.22104	0.36501	0.13555	0.17176	0.93148	0.80372	0
275	0.28489	0.37001	0.54954	0.99844	0.38311	0.86362	0
276	0.69889	0.87784	0.94124	0.64004	0.41347	0.86167	0
277	0.23784	0.89936	0.76945	0.24055	0.92808	0.22062	0
278	0.73133	0.60616	0.70697	0.85848	0.59739	0.791	0
279	0.48894	0.81843	0.15602	0.62449	0.99019	0.087493	0
280	0.42821	0.27508	0.4575	0.97775	0.27351	0.84061	0
281	0.84137	0.9724	0.71845	0.78261	0.61244	0.13192	0
282	0.64428	0.85028	0.031283	0.41373	0.090828	0.95936	0
283	0.63435	0.82216	0.56552	0.34132	0.68064	0.16291	0
284	0.13232	0.16958	0.98134	0.28834	0.79407	0.97152	0
285	0.37583	0.22229	0.2466	0.83333	0.20004	0.52011	0
286	0.67394	0.041411	0.49252	0.39239	0.82402	0.10496	0
287	0.5243	0.4683	0.95524	0.55559	0.88203	0.046071	0
288	0.51495	0.51638	0.86823	0.080461	0.8577	0.54887	0
289	0.24337	0.99002	0.71846	0.2247	0.27836	0.51253	0
290	0.19622	0.6542	0.73482	0.44282	0.48753	0.93486	0
291	0.96293	0.16147	0.97627	0.45545	0.55386	0.80029	0
292	0.56041	0.078162	0.26858	0.51566	0.63375	0.15061	0
293	0.56173	0.14869	0.66699	0.42996	0.22916	0.52469	0
294	0.97883	0.47252	0.51471	0.69729	0.69722	0.79307	0
295	0.20982	0.89345	0.44727	0.94464	0.33627	0.9348	0
296	0.87949	0.29921	0.096266	0.85576	0.75466	0.65012	0
297	0.65605	0.31507	0.72828	0.92463	0.83072	0.36203	0
298	0.075244	0.39245	0.51073	0.74223	0.82241	0.73988	0
299	0.26692	0.80125	0.21241	0.78163	0.49853	0.90963	0
300	0.5747	0.70835	0.80308	0.021964	0.65299	0.13935	0
